timestamp,node,bmc_power_watt,gpu_power_watt,gpu_power_limit_watt
2026-05-20T23:25:50+02:00,gruss-2,N/A,298.91,300.00
2026-05-20T23:26:00+02:00,gruss-2,N/A,299.17,300.00
2026-05-20T23:26:11+02:00,gruss-2,N/A,299.41,300.00
2026-05-20T23:26:21+02:00,gruss-2,N/A,299.34,300.00
2026-05-20T23:26:31+02:00,gruss-2,N/A,299.46,300.00
2026-05-20T23:26:42+02:00,gruss-2,N/A,299.23,300.00
2026-05-20T23:26:52+02:00,gruss-2,N/A,298.93,300.00
2026-05-20T23:27:02+02:00,gruss-2,N/A,299.27,300.00
2026-05-20T23:27:13+02:00,gruss-2,N/A,298.46,300.00
2026-05-20T23:27:23+02:00,gruss-2,N/A,299.10,300.00
2026-05-20T23:27:34+02:00,gruss-2,N/A,298.61,300.00
2026-05-20T23:27:44+02:00,gruss-2,N/A,298.68,300.00
2026-05-20T23:27:54+02:00,gruss-2,N/A,299.43,300.00
2026-05-20T23:28:05+02:00,gruss-2,N/A,298.74,300.00
2026-05-20T23:28:15+02:00,gruss-2,N/A,298.66,300.00
2026-05-20T23:28:26+02:00,gruss-2,N/A,299.24,300.00
2026-05-20T23:28:36+02:00,gruss-2,N/A,298.77,300.00
2026-05-20T23:28:46+02:00,gruss-2,N/A,299.13,300.00
2026-05-20T23:28:57+02:00,gruss-2,N/A,299.15,300.00
2026-05-20T23:29:07+02:00,gruss-2,N/A,299.25,300.00
2026-05-20T23:29:18+02:00,gruss-2,N/A,299.10,300.00
2026-05-20T23:29:28+02:00,gruss-2,N/A,300.22,300.00
2026-05-20T23:29:38+02:00,gruss-2,N/A,299.31,300.00
2026-05-20T23:29:48+02:00,gruss-2,N/A,299.04,300.00
2026-05-20T23:29:59+02:00,gruss-2,N/A,299.29,300.00
2026-05-20T23:30:09+02:00,gruss-2,N/A,298.71,300.00
2026-05-20T23:30:20+02:00,gruss-2,N/A,299.61,300.00
2026-05-20T23:30:30+02:00,gruss-2,N/A,299.30,300.00
2026-05-20T23:30:41+02:00,gruss-2,N/A,298.22,300.00
2026-05-20T23:30:51+02:00,gruss-2,N/A,298.57,300.00
2026-05-20T23:31:01+02:00,gruss-2,N/A,299.95,300.00
2026-05-20T23:31:12+02:00,gruss-2,N/A,298.51,300.00
2026-05-20T23:31:22+02:00,gruss-2,N/A,299.01,300.00
2026-05-20T23:31:33+02:00,gruss-2,N/A,298.61,300.00
2026-05-20T23:31:43+02:00,gruss-2,N/A,299.80,300.00
2026-05-20T23:31:53+02:00,gruss-2,N/A,300.33,300.00
2026-05-20T23:32:04+02:00,gruss-2,N/A,299.42,300.00
2026-05-20T23:32:14+02:00,gruss-2,N/A,298.86,300.00
2026-05-20T23:32:24+02:00,gruss-2,N/A,299.44,300.00
2026-05-20T23:32:35+02:00,gruss-2,N/A,299.37,300.00
2026-05-20T23:32:45+02:00,gruss-2,N/A,298.87,300.00
2026-05-20T23:32:55+02:00,gruss-2,N/A,298.79,300.00
2026-05-20T23:33:06+02:00,gruss-2,N/A,298.58,300.00
2026-05-20T23:33:16+02:00,gruss-2,N/A,298.48,300.00
2026-05-20T23:33:26+02:00,gruss-2,N/A,298.65,300.00
2026-05-20T23:33:36+02:00,gruss-2,N/A,298.61,300.00
2026-05-20T23:33:47+02:00,gruss-2,N/A,299.28,300.00
2026-05-20T23:33:58+02:00,gruss-2,N/A,298.99,300.00
2026-05-20T23:34:08+02:00,gruss-2,N/A,299.50,300.00
2026-05-20T23:34:18+02:00,gruss-2,N/A,299.30,300.00
2026-05-20T23:34:29+02:00,gruss-2,N/A,299.02,300.00
2026-05-20T23:34:39+02:00,gruss-2,N/A,299.67,300.00
2026-05-20T23:34:49+02:00,gruss-2,N/A,300.15,300.00
2026-05-20T23:35:00+02:00,gruss-2,N/A,299.29,300.00
2026-05-20T23:35:10+02:00,gruss-2,N/A,298.73,300.00
2026-05-20T23:35:20+02:00,gruss-2,N/A,299.35,300.00
2026-05-20T23:35:31+02:00,gruss-2,N/A,298.63,300.00
2026-05-20T23:35:41+02:00,gruss-2,N/A,299.05,300.00
2026-05-20T23:35:51+02:00,gruss-2,N/A,299.22,300.00
2026-05-20T23:36:02+02:00,gruss-2,N/A,299.43,300.00
2026-05-20T23:36:12+02:00,gruss-2,N/A,298.93,300.00
2026-05-20T23:36:22+02:00,gruss-2,N/A,299.05,300.00
2026-05-20T23:36:33+02:00,gruss-2,N/A,298.68,300.00
2026-05-20T23:36:43+02:00,gruss-2,N/A,299.32,300.00
2026-05-20T23:36:53+02:00,gruss-2,N/A,299.47,300.00
2026-05-20T23:37:04+02:00,gruss-2,N/A,298.70,300.00
2026-05-20T23:37:14+02:00,gruss-2,N/A,298.67,300.00
2026-05-20T23:37:24+02:00,gruss-2,N/A,299.43,300.00
2026-05-20T23:37:35+02:00,gruss-2,N/A,299.25,300.00
2026-05-20T23:37:45+02:00,gruss-2,N/A,299.86,300.00
2026-05-20T23:37:55+02:00,gruss-2,N/A,298.94,300.00
2026-05-20T23:38:06+02:00,gruss-2,N/A,299.20,300.00
2026-05-20T23:38:16+02:00,gruss-2,N/A,299.06,300.00
2026-05-20T23:38:26+02:00,gruss-2,N/A,299.35,300.00
2026-05-20T23:38:37+02:00,gruss-2,N/A,299.42,300.00
2026-05-20T23:38:47+02:00,gruss-2,N/A,299.27,300.00
2026-05-20T23:38:57+02:00,gruss-2,N/A,299.13,300.00
2026-05-20T23:39:08+02:00,gruss-2,N/A,299.48,300.00
2026-05-20T23:39:19+02:00,gruss-2,N/A,298.81,300.00
2026-05-20T23:39:29+02:00,gruss-2,N/A,298.86,300.00
2026-05-20T23:39:39+02:00,gruss-2,N/A,299.20,300.00
2026-05-20T23:39:50+02:00,gruss-2,N/A,299.59,300.00
2026-05-20T23:40:00+02:00,gruss-2,N/A,299.11,300.00
2026-05-20T23:40:10+02:00,gruss-2,N/A,299.58,300.00
2026-05-20T23:40:21+02:00,gruss-2,N/A,299.16,300.00
2026-05-20T23:40:31+02:00,gruss-2,N/A,299.09,300.00
2026-05-20T23:40:41+02:00,gruss-2,N/A,298.81,300.00
2026-05-20T23:40:52+02:00,gruss-2,N/A,298.76,300.00
2026-05-20T23:41:02+02:00,gruss-2,N/A,298.95,300.00
2026-05-20T23:41:13+02:00,gruss-2,N/A,299.16,300.00
2026-05-20T23:41:23+02:00,gruss-2,N/A,299.97,300.00
2026-05-20T23:41:33+02:00,gruss-2,N/A,299.22,300.00
2026-05-20T23:41:44+02:00,gruss-2,N/A,299.23,300.00
2026-05-20T23:41:54+02:00,gruss-2,N/A,298.95,300.00
2026-05-20T23:42:04+02:00,gruss-2,N/A,299.10,300.00
2026-05-20T23:42:15+02:00,gruss-2,N/A,300.00,300.00
2026-05-20T23:42:25+02:00,gruss-2,N/A,299.38,300.00
2026-05-20T23:42:35+02:00,gruss-2,N/A,298.32,300.00
2026-05-20T23:42:46+02:00,gruss-2,N/A,298.77,300.00
2026-05-20T23:42:56+02:00,gruss-2,N/A,298.60,300.00
