timestamp, power.draw [W]
2026/04/20 23:48:05.925, 8.50 W
2026/04/20 23:48:15.929, 8.31 W
2026/04/20 23:48:25.932, 8.21 W
2026/04/20 23:48:35.935, 8.41 W
2026/04/20 23:48:45.938, 8.50 W
2026/04/20 23:48:55.940, 8.50 W
2026/04/20 23:49:05.943, 8.60 W
2026/04/20 23:49:15.947, 8.60 W
2026/04/20 23:49:25.949, 14.55 W
2026/04/20 23:49:35.958, 8.31 W
2026/04/20 23:49:45.961, 8.21 W
2026/04/20 23:49:55.964, 8.31 W
2026/04/20 23:50:05.968, 8.51 W
2026/04/20 23:50:15.971, 8.40 W
2026/04/20 23:50:25.974, 8.69 W
2026/04/20 23:50:35.977, 8.70 W
2026/04/20 23:50:45.980, 8.60 W
2026/04/20 23:50:55.984, 8.70 W
2026/04/20 23:51:05.987, 8.89 W
2026/04/20 23:51:15.990, 9.48 W
2026/04/20 23:51:25.992, 8.89 W
2026/04/20 23:51:35.996, 8.50 W
2026/04/20 23:51:45.999, 8.70 W
2026/04/20 23:51:56.003, 8.60 W
2026/04/20 23:52:06.006, 8.60 W
2026/04/20 23:52:16.009, 8.60 W
2026/04/20 23:52:26.012, 8.79 W
2026/04/20 23:52:36.016, 8.60 W
2026/04/20 23:52:46.019, 8.50 W
2026/04/20 23:52:56.021, 8.40 W
2026/04/20 23:53:06.024, 8.50 W
2026/04/20 23:53:16.027, 8.60 W
2026/04/20 23:53:26.031, 8.60 W
2026/04/20 23:53:36.033, 8.30 W
2026/04/20 23:53:46.037, 8.11 W
2026/04/20 23:53:56.040, 8.41 W
2026/04/20 23:54:06.043, 8.31 W
2026/04/20 23:54:16.046, 8.60 W
2026/04/20 23:54:26.049, 8.60 W
2026/04/20 23:54:36.052, 8.31 W
2026/04/20 23:54:46.056, 8.31 W
2026/04/20 23:54:56.059, 8.50 W
2026/04/20 23:55:06.062, 8.60 W
2026/04/20 23:55:16.065, 8.60 W
2026/04/20 23:55:26.069, 8.79 W
2026/04/20 23:55:36.072, 9.28 W
2026/04/20 23:55:46.075, 8.80 W
2026/04/20 23:55:56.079, 8.51 W
2026/04/20 23:56:06.082, 8.69 W
2026/04/20 23:56:16.085, 8.99 W
2026/04/20 23:56:26.090, 9.57 W
2026/04/20 23:56:36.093, 8.31 W
2026/04/20 23:56:46.096, 8.31 W
2026/04/20 23:56:56.100, 8.31 W
2026/04/20 23:57:06.103, 8.31 W
2026/04/20 23:57:16.106, 8.30 W
2026/04/20 23:57:26.110, 8.30 W
2026/04/20 23:57:36.113, 8.50 W
2026/04/20 23:57:46.116, 8.21 W
2026/04/20 23:57:56.119, 8.51 W
2026/04/20 23:58:06.123, 8.21 W
2026/04/20 23:58:16.126, 8.60 W
2026/04/20 23:58:26.129, 8.21 W
2026/04/20 23:58:36.132, 8.40 W
2026/04/20 23:58:46.135, 8.11 W
2026/04/20 23:58:56.138, 8.89 W
2026/04/20 23:59:06.142, 8.21 W
