,comparison,feature,cohen_d,d_significant,pval_raw,pval_corrected,reject_H0,mean_False,mean_True,direction
96,False vs True,max_head_distance_adj,0.054,False,0.8228602164635458,0.9332641813961531,False,0.7880454822231729,0.7801947761156475,False > True
97,False vs True,dependency_direction_index,-0.585,False,0.017481543811756293,0.05382475331514437,False,0.16330173654033384,0.2003820622674141,True > False
98,False vs True,avg_integration_cost,0.302,False,0.11710074359486941,0.23774647708642677,False,0.21148263947160817,0.1958129624958796,False > True
99,False vs True,avg_clause_length,0.57,True,0.007603950120066154,0.0385678942999875,True,11.709617292001552,10.473744339709754,False > True
100,False vs True,complex_nom_per_sent,0.317,False,0.03913112985875983,0.09662362943780753,False,3.165300491689381,2.9757762662174425,False > True
101,False vs True,complex_verb_per_sent,-0.428,False,0.05092842145859641,0.12160459817664858,False,2.1192252706141597,2.2941105493393077,True > False
102,False vs True,avg_dep_dist,0.31,False,0.09315350362828057,0.1981629077183423,False,2.8282156089335064,2.7545361485083766,False > True
103,False vs True,avg_dep_count,0.117,False,0.724074243057077,0.8755332092449679,False,2.666134478696708,2.6471677588096947,False > True
104,False vs True,clausal_density,-0.402,False,0.037617586313094,0.09662362943780753,False,1.9499758471980695,2.095479586982855,True > False
105,False vs True,mean_pos_surprisal,-0.066,False,0.546698128245916,0.6952574022257845,False,2.1805938685015054,2.1887942705016594,True > False
106,False vs True,sd_pos_surprisal,-0.101,False,0.7435254817712512,0.8787119330023878,False,1.582556730241149,1.5938202909648111,True > False
107,False vs True,mean_pos_entropy,0.122,False,0.623580341145507,0.776158509723663,False,2.1730265943050817,2.1644688729893926,False > True
108,False vs True,sd_pos_entropy,0.568,True,0.00461477712947952,0.03189368680847845,True,0.747933908401167,0.7268656950463344,False > True
109,False vs True,mean_pos_entropy_reduction,-0.496,False,0.008420505085663695,0.039407963800906096,True,-0.05245852262407208,-0.0353916962373996,True > False
110,False vs True,sd_pos_entropy_reduction,0.147,False,0.5353001236245389,0.6894283806044785,False,0.931577069474469,0.9207975929069755,False > True
111,False vs True,token_sent_overlap_prev1,-0.136,False,0.2935128321836691,0.45185528112485895,False,0.14641190739194893,0.15169196854021869,True > False
112,False vs True,token_sent_overlap_prev5,-0.346,False,0.03641320991571009,0.09662362943780753,False,0.14385661896587998,0.15379234900584138,True > False
113,False vs True,lemma_sent_overlap_prev1,0.02,False,0.7829114037613185,0.9069369726740026,False,0.212425433026671,0.21144834405244112,False > True
114,False vs True,lemma_sent_overlap_prev5,0.111,False,0.5073390172494121,0.6894283806044785,False,0.21687035980920363,0.21225098564224934,False > True
